"V1","V2","V3"
0.209928186890173,-0.0183078692669546,-0.0285384963563673
-0.0974917693046598,-0.0758736844482658,-0.0236154891836938
-0.0513200990275648,-0.109153932859598,0.00777498749668745
-0.112363800947293,-0.016904757120801,-0.0311810461736749
-0.165211340206057,-0.0418371361880049,-0.0232546758532593
-0.184946481291258,-0.0140173303667926,-0.0328682086118978
-0.0911867981913618,-0.0249847325046815,-0.0430571929150834
0.112725224132303,-0.0237841242943642,-0.038852828239393
0.16068025556226,-0.00690080404204369,-0.0467328879826058
0.0875488521974008,-0.00843465716358642,0.0714857526687122
0.0915344751443939,-0.0462053403923417,0.0551035998411215
0.0596303136710294,-0.100854227432579,0.00285510550831117
-0.00493425473006928,-0.0591468707710067,0.0831972727407606
-0.165204029817948,-0.0912820959521483,0.0313515929604208
-0.135845063891362,-0.095777839422263,0.00792198498620964
0.126647616193483,-0.0601343808692955,0.00540098408573135
-0.0331139898839468,-0.121843041920085,-0.00497020232913872
-0.0552276977226372,-0.120398747917144,-0.00833816997358881
0.193497352178013,-0.0269202011642861,0.00287581386042773
0.0852750673626118,-0.069485663836171,-0.0112507890948074
0.0782159307969438,-0.0367487913441397,-0.0353760238969866
0.0547319867777193,-0.00922826447627043,-0.0290493837152537
-0.00154006576428709,-0.0359535915481606,-0.0373121624106413
0.0858365263181457,0.000809783799293352,0.0720114952759615
-0.0506648966278353,0.00108123601704269,0.103043705614318
-0.140516827225291,0.00105833625032256,0.104653326737099
-0.178594094030508,-0.000396410058436579,-0.0295558798726808
-0.106499386069177,-0.000266461753667377,-0.0204322044556102
-0.0316312418593986,-0.000143013933952673,-0.0120310000794408
0.0139873164009118,4.96465598205424e-05,0.00405089749949385
0.0851065069043467,0.000649761509711868,0.0571042288917266
0.209912019343713,0.0178798422120185,-0.0289261621881728
-0.097559292586934,0.0752632281992102,-0.0252345641282932
-0.0514176749256119,0.109249549360557,0.00543531018237914
-0.112378560966179,0.016132494770591,-0.0315349622742408
-0.1652484304597,0.0411817313225805,-0.024144026879166
-0.184958616461424,0.0131447401315426,-0.0331591860244764
-0.0912086719306901,0.0239751124374586,-0.0435816819816438
0.112704301425119,0.0230470317372481,-0.0393545134334942
0.16067447328682,0.00604162453396552,-0.0468715355271574
0.0875405972383848,0.0100423625797952,0.0712878150557669
0.0914926297300267,0.0474569716708829,0.0541002294529191
0.0595401558237111,0.100945481285459,0.000693298399184201
-0.00498789294303082,0.060911183782763,0.0819111343340648
-0.165285818582393,0.0917851503532452,0.0293904599289343
-0.135930656784386,0.0958041625252419,0.00586963646488656
0.126593787774092,0.0603494114665798,0.00411028490454373
-0.0332227879613014,0.121678969444299,-0.00757896533846493
-0.0553351643549892,0.120143098972501,-0.0109150075614722
0.193473195961537,0.0271484971631208,0.00229659549996544
0.0852130600667768,0.0693048531302436,-0.0127376015791437
0.0781834054975947,0.0360523693959122,-0.0361559163350894
0.0547239981077038,0.00865272237216336,-0.0292409362439105
-0.00157183023792035,0.0351446180634689,-0.0380738117507768
